ATD,SOBT,DEPAP,ARRAP,SECTOR_INFO,DepSector,ArrSector,TimeDelay
2.02E+11,2.02E+11,ZYCC,ZSYT,"ZYCCAPP,ZYTLAR09,ZYTXAR03,ZYTXAR03,ZYTXAR03,ZYTXAR03,ZYTLAR08,ZYTLAR08,ZYTLAR05,ZYTLAR05,ZYTLAR05,ZYTLAR04,ZYTLAR04,ZSQDAR09,ZSQDAR09,ZSYTAP,",144,97,615
2.02E+11,2.02E+11,ZYTL,ZYJD,"ZYTLAP,ZYTLAR02,ZYTLAR07,ZYTLAR07,ZYTXAR12,ZYTXAR12,ZYTXAR12,ZYTXAR12,ZYTLAR09,ZYHBAR02,ZYHBAR02,ZYHBAR02,ZYHBAR02,ZYHBAR02,ZYHBAR01,ZYHBAR01,ZYHBAR01,ZYHBAR01,ZYHBAR01,ZYHBAR01,",46,75,895
2.02E+11,2.02E+11,ZSPD,ZGKL,"ZSSSAP,ZSSSAR15,ZSSSAR15,ZSSSAR15,ZSSSAR15,ZSSSAR01,ZSSSAR01,ZSSSAR21,ZSSSAR21,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR11,ZSSSAR11,UNKNOWNAR,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR12,ZGGGAR12,ZGGGAR12,ZGGGAR12,ZGGGAR12,ZGGGAR12,ZGKLAP,ZGKLAP,",110,53,405
,2.02E+11,ZSQD,ZSHC,"ZSQDAP,ZSQDAR06,ZSQDAR06,ZSSSAR07,ZSSSAR07,ZSSSAR05,ZSSSAR05,ZSSSAP,ZSSSAP,ZSSSAP,ZSSSAP,ZSNBAP,ZSHCAP,ZSHCAP,ZSHCAP,",99,118,1155
,2.02E+11,ZUDA,ZGNN,"ZUUUAR27,ZUUUAR06,ZUUUAR06,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR10,ZUUUAR10,ZUUUAR10,ZUUUAR10,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR22,ZUUUAR23,ZUUUAR23,ZUUUAR23,ZUUUAR23,ZUUUAR23,ZGNNAR02,ZGNNAR02,ZGNNAR02,ZGNNAR02,ZGNNAR02,ZGNNAR02,ZGNNAP,ZGNNAP,",28,95,715
2.02E+11,2.02E+11,ZSPD,ZUTF,"ZSSSAP,ZSSSAR04,ZSSSAR04,ZSSSAR04,ZSSSAR34,ZSSSAR34,ZSSSAR34,ZSSSAR34,ZSSSAR23,ZSSSAR23,ZSSSAR23,ZSSSAR23,ZSSSAR25,ZSSSAR25,ZGGGAR36,ZGGGAR36,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR31,ZGGGAR31,ZGGGAR31,ZGGGAR17,ZGGGAR17,ZGGGAR17,ZGGGAR17,ZGGGAR17,ZUUUAR13,ZUUUAR13,ZUUUAR13,ZUUUAR13,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR06,ZUUUAR06,ZUUUAR06,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAP,",110,34,610
2.02E+11,2.02E+11,ZBTJ,ZGSZ,"ZBAAAP,ZBAAAP,ZBAAAR16,ZBAAAR16,ZBAAAR15,ZBAAAR15,ZBAAAR13,ZBAAAR25,ZBAAAR25,ZBAAAR25,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZBAAAR27,ZGGGAR21,ZGGGAR21,ZGGGAR21,ZGGGAR21,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,ZGGGAR27,UNKNOWNAR,ZGGGAR14,ZGGGAR14,ZGGGAR14,ZGGGAR14,ZGGGAR14,ZGGGAR14,ZGGGAR35,ZGGGAR20,ZGGGAR20,ZGGGAR02,ZGGGAR02,ZGGGAP,ZGGGAP,ZGGGAP,ZGJDAP,ZGJDAP,ZGJDAP,ZGJDAP,",16,62,1020
2.02E+11,2.02E+11,ZGNN,ZSAM,"ZGNNAP,ZGNNAP,ZGNNAR03,ZGNNAR01,ZGNNAR01,ZGGGAR30,ZGGGAR30,UNKNOWNAR,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR29,ZGGGAR01,ZGGGAR01,ZSSSAR40,ZSSSAR40,ZSAMAR06,ZSAMAR06,ZSAMAR06,ZSAMAP,ZSAMAP,",95,132,420
,2.02E+11,ZLIC,ZSNJ,"ZLICAP,ZLICAP,ZLICAP,ZLICAP,ZLICAP,ZLLLAR02,ZLLLAR02,UNKNOWNAR,ZLXYAR04,ZLXYAR13,ZLXYAR13,ZLXYAR13,ZLXYAR13,ZLXYAR13,ZLXYAR07,ZLXYAR07,ZBAAAR31,ZBAAAR31,ZHCCAR06,ZHCCAR06,ZHCCAR06,ZHCCAR06,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZHCCAR04,ZSOFAR04,ZSOFAP,ZSOFAP,ZSOFAP,ZSOFAP,ZSOFAP,ZSNJAP,ZSNJAP,",83,136,935
2.02E+11,2.02E+11,ZSCG,ZGSZ,"ZSSSAP,ZSSSAP,ZSNJAP,ZSSSAR34,ZSSSAR34,ZSSSAR34,ZSSSAR23,ZSSSAR23,ZSSSAR23,ZSSSAR17,ZSSSAR17,ZSSSAR17,ZSSSAR17,ZSSSAR39,ZSSSAR39,ZSCNAR02,ZSCNAR02,ZSCNAR03,ZSCNAR03,ZSCNAR03,ZSCNAR03,ZSCNAR03,ZSCNAR03,ZSAMAR07,ZGGGAR20,ZGGGAR20,ZGGGAR02,ZGGGAP,ZGGGAP,ZGGGAP,ZGJDAP,ZGJDAP,ZGJDAP,ZGJDAP,",128,62,635
2.02E+11,2.02E+11,ZSQD,ZSHC,"ZSQDAP,ZSQDAR06,ZSQDAR06,ZSSSAR07,ZSSSAR07,ZSSSAR05,ZSSSAR05,ZSSSAP,ZSSSAP,ZSSSAP,ZSSSAP,ZSNBAP,ZSHCAP,ZSHCAP,ZSHCAP,",99,118,465
2.02E+11,2.02E+11,ZSHC,ZYTX,"ZSHCAP,ZSHCAP,ZSHCAP,ZSNBAP,ZSSSAP,ZSSSAP,ZSSSAP,ZSSSAR05,ZSSSAR05,ZSSSAR05,ZSSSAR07,ZSSSAR07,ZSQDAR07,ZSQDAR07,ZSQDAR07,ZSQDAR07,ZSQDAR07,ZSQDAR02,ZSQDAR02,ZSQDAR02,ZSQDAR03,ZSQDAR03,ZSQDAR03,ZYTLAR04,ZYTLAR05,ZYTLAR05,ZYTLAR05,ZYTLAR08,ZYTLAR08,ZYTXAR03,ZYTXAP,",118,148,480
,2.02E+11,ZUMY,ZBTJ,"ZUUUAP,ZUUUAR15,ZUUUAR15,ZUUUAR15,ZUUUAR15,ZUUUAR15,ZLXYAR08,ZLXYAR08,ZLXYAR08,ZLXYAR12,ZLXYAR12,ZLXYAR12,ZLXYAR01,ZLXYAR01,ZLXYAR01,ZBAAAR35,ZBAAAR35,ZBAAAR35,ZBAAAR33,ZBAAAR33,ZBAAAR33,ZBAAAR33,ZBAAAR33,ZBAAAR12,ZBAAAR12,ZBSJAP,ZBAAAR12,ZBAAAR16,ZBAAAP,ZBAAAP,",30,16,1005
2.02E+11,2.02E+11,ZLIC,ZBAA,"ZLICAP,ZLICAP,ZLICAP,ZLLLAR02,ZLLLAR02,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZBAAAR08,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR07,ZBAAAR32,ZBAAAR32,ZBAAAR05,ZBAAAR05,ZBAAAR05,ZBAAAP,",83,2,960
2.02E+11,2.02E+11,ZSNB,ZUTF,"ZSNBAP,ZSNBAP,ZSHCAP,ZSSSAR02,ZSSSAR01,ZSSSAR01,ZSSSAR01,ZSSSAR01,ZSSSAR21,ZSSSAR21,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR12,ZSSSAR11,ZSSSAR11,UNKNOWNAR,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR13,ZGGGAR12,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZGGGAR19,ZUUUAR13,ZUUUAR13,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR19,ZUUUAR06,ZUUUAR06,ZUUUAR06,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAR05,ZUUUAP,",134,34,805
2.02E+11,2.02E+11,ZSHC,ZGOW,"ZSHCAP,ZSHCAP,ZSHCAP,ZSSSAR01,ZSSSAR19,ZSSSAR19,ZSSSAR19,ZSAMAR03,ZSAMAR03,ZSAMAR03,ZSAMAR03,ZSAMAR03,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSAMAR02,ZSAMAR01,ZGOWAP,ZGOWAP,ZGOWAP,",118,142,460
2.02E+11,2.02E+11,ZLXY,ZJSY,"ZLXYAP,ZLXYAR03,ZLXYAR05,ZUUUAR01,ZUUUAR01,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR20,ZUUUAR10,ZUUUAR10,ZUUUAR10,ZUUUAR10,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZUUUAR24,ZUUUAR26,ZUUUAR26,ZUUUAR26,ZUUUAR26,ZUUUAR26,ZGNNAR05,ZGNNAR05,ZGNNAR05,ZGNNAR05,ZGNNAR05,ZGNNAR05,ZGNNAR06,ZGNNAR06,ZGNNAR06,ZJSYAR12,ZJSYAR12,ZJSYAR04,ZJSYAR04,ZJHKAP,ZJSYAR04,ZJSYAR04,ZJSYAP,ZJSYAP,",165,101,1040
